,index,dt,AverageTemperature,AverageTemperatureUncertainty,day,month,year
0,554880,1768-09-01,15.42,2.88,1,9,1768
1,554881,1768-10-01,8.162,3.386,1,10,1768
2,554882,1768-11-01,1.591,3.783,1,11,1768
3,554883,1768-12-01,-2.882,4.979,1,12,1768
4,554884,1769-01-01,-3.952,4.856,1,1,1769
5,554885,1769-02-01,-2.684,3.3110000000000004,1,2,1769
6,554886,1769-03-01,1.828,3.884,1,3,1769
7,554887,1769-04-01,8.843,3.482,1,4,1769
8,554888,1769-05-01,15.724,4.795,1,5,1769
9,554889,1769-06-01,20.933000000000003,2.613,1,6,1769
10,554890,1769-07-01,22.093000000000004,3.277,1,7,1769
11,554891,1769-08-01,20.787,3.329,1,8,1769
12,554892,1769-09-01,,,1,9,1769
13,554893,1769-10-01,,,1,10,1769
14,554894,1769-11-01,,,1,11,1769
15,554895,1769-12-01,,,1,12,1769
16,554896,1770-01-01,,,1,1,1770
17,554897,1770-02-01,,,1,2,1770
18,554898,1770-03-01,,,1,3,1770
19,554899,1770-04-01,,,1,4,1770
20,554900,1770-05-01,,,1,5,1770
21,554901,1770-06-01,,,1,6,1770
22,554902,1770-07-01,,,1,7,1770
23,554903,1770-08-01,,,1,8,1770
24,554904,1770-09-01,,,1,9,1770
25,554905,1770-10-01,,,1,10,1770
26,554906,1770-11-01,,,1,11,1770
27,554907,1770-12-01,,,1,12,1770
28,554908,1771-01-01,,,1,1,1771
29,554909,1771-02-01,,,1,2,1771
30,554910,1771-03-01,,,1,3,1771
31,554911,1771-04-01,,,1,4,1771
32,554912,1771-05-01,,,1,5,1771
33,554913,1771-06-01,,,1,6,1771
34,554914,1771-07-01,,,1,7,1771
35,554915,1771-08-01,,,1,8,1771
36,554916,1771-09-01,,,1,9,1771
37,554917,1771-10-01,,,1,10,1771
38,554918,1771-11-01,,,1,11,1771
39,554919,1771-12-01,,,1,12,1771
40,554920,1772-01-01,,,1,1,1772
41,554921,1772-02-01,,,1,2,1772
42,554922,1772-03-01,,,1,3,1772
43,554923,1772-04-01,,,1,4,1772
44,554924,1772-05-01,,,1,5,1772
45,554925,1772-06-01,,,1,6,1772
46,554926,1772-07-01,,,1,7,1772
47,554927,1772-08-01,,,1,8,1772
48,554928,1772-09-01,,,1,9,1772
49,554929,1772-10-01,,,1,10,1772
50,554930,1772-11-01,,,1,11,1772
51,554931,1772-12-01,,,1,12,1772
52,554932,1773-01-01,,,1,1,1773
53,554933,1773-02-01,,,1,2,1773
54,554934,1773-03-01,,,1,3,1773
55,554935,1773-04-01,,,1,4,1773
56,554936,1773-05-01,,,1,5,1773
57,554937,1773-06-01,,,1,6,1773
58,554938,1773-07-01,,,1,7,1773
59,554939,1773-08-01,,,1,8,1773
60,554940,1773-09-01,,,1,9,1773
61,554941,1773-10-01,,,1,10,1773
62,554942,1773-11-01,,,1,11,1773
63,554943,1773-12-01,,,1,12,1773
64,554944,1774-01-01,,,1,1,1774
65,554945,1774-02-01,,,1,2,1774
66,554946,1774-03-01,,,1,3,1774
67,554947,1774-04-01,,,1,4,1774
68,554948,1774-05-01,,,1,5,1774
69,554949,1774-06-01,,,1,6,1774
70,554950,1774-07-01,,,1,7,1774
71,554951,1774-08-01,,,1,8,1774
72,554952,1774-09-01,,,1,9,1774
73,554953,1774-10-01,9.244,2.865,1,10,1774
74,554954,1774-11-01,0.5219999999999998,4.556,1,11,1774
75,554955,1774-12-01,-4.957,3.477,1,12,1774
76,554956,1775-01-01,-1.5510000000000002,3.978,1,1,1775
77,554957,1775-02-01,1.5060000000000002,3.715,1,2,1775
78,554958,1775-03-01,5.02,2.57,1,3,1775
79,554959,1775-04-01,7.662999999999999,1.987,1,4,1775
80,554960,1775-05-01,14.452,2.497,1,5,1775
81,554961,1775-06-01,17.684,3.4410000000000003,1,6,1775
82,554962,1775-07-01,21.601,1.732,1,7,1775
83,554963,1775-08-01,20.844,1.882,1,8,1775
84,554964,1775-09-01,15.081,2.335,1,9,1775
85,554965,1775-10-01,10.255999999999998,2.23,1,10,1775
86,554966,1775-11-01,5.371,3.829,1,11,1775
87,554967,1775-12-01,-3.937,2.865,1,12,1775
88,554968,1776-01-01,-6.3580000000000005,4.738,1,1,1776
89,554969,1776-02-01,-0.54,3.577,1,2,1776
90,554970,1776-03-01,1.541,2.805,1,3,1776
91,554971,1776-04-01,7.254,2.047,1,4,1776
92,554972,1776-05-01,,,1,5,1776
93,554973,1776-06-01,19.836,2.202,1,6,1776
94,554974,1776-07-01,20.94,2.279,1,7,1776
95,554975,1776-08-01,21.476,2.825,1,8,1776
96,554976,1776-09-01,14.999,2.23,1,9,1776
97,554977,1776-10-01,8.351,2.533,1,10,1776
98,554978,1776-11-01,2.7030000000000003,4.143,1,11,1776
99,554979,1776-12-01,-0.9919999999999998,3.204,1,12,1776
100,554980,1777-01-01,0.1739999999999995,3.4410000000000003,1,1,1777
101,554981,1777-02-01,-0.1859999999999999,3.867,1,2,1777
102,554982,1777-03-01,2.504,2.607,1,3,1777
103,554983,1777-04-01,5.836,2.194,1,4,1777
104,554984,1777-05-01,13.739,2.465,1,5,1777
105,554985,1777-06-01,17.463,2.314,1,6,1777
106,554986,1777-07-01,19.176,1.97,1,7,1777
107,554987,1777-08-01,19.398,1.943,1,8,1777
108,554988,1777-09-01,15.27,2.806,1,9,1777
109,554989,1777-10-01,7.042000000000001,3.095,1,10,1777
110,554990,1777-11-01,1.882,2.461,1,11,1777
111,554991,1777-12-01,-2.641,2.878,1,12,1777
112,554992,1778-01-01,-3.402,3.08,1,1,1778
113,554993,1778-02-01,,,1,2,1778
114,554994,1778-03-01,,,1,3,1778
115,554995,1778-04-01,,,1,4,1778
116,554996,1778-05-01,13.835,2.419,1,5,1778
117,554997,1778-06-01,16.855,3.3510000000000004,1,6,1778
118,554998,1778-07-01,,,1,7,1778
119,554999,1778-08-01,,,1,8,1778
120,555000,1778-09-01,,,1,9,1778
121,555001,1778-10-01,8.203,3.882,1,10,1778
122,555002,1778-11-01,0.6299999999999999,3.141,1,11,1778
123,555003,1778-12-01,-3.949,3.169,1,12,1778
124,555004,1779-01-01,-5.337999999999999,3.3160000000000003,1,1,1779
125,555005,1779-02-01,-0.2930000000000001,4.464,1,2,1779
126,555006,1779-03-01,3.49,3.214,1,3,1779
127,555007,1779-04-01,,,1,4,1779
128,555008,1779-05-01,,,1,5,1779
129,555009,1779-06-01,,,1,6,1779
130,555010,1779-07-01,,,1,7,1779
131,555011,1779-08-01,,,1,8,1779
132,555012,1779-09-01,,,1,9,1779
133,555013,1779-10-01,,,1,10,1779
134,555014,1779-11-01,,,1,11,1779
135,555015,1779-12-01,,,1,12,1779
136,555016,1780-01-01,,,1,1,1780
137,555017,1780-02-01,,,1,2,1780
138,555018,1780-03-01,,,1,3,1780
139,555019,1780-04-01,,,1,4,1780
140,555020,1780-05-01,,,1,5,1780
141,555021,1780-06-01,,,1,6,1780
142,555022,1780-07-01,,,1,7,1780
143,555023,1780-08-01,,,1,8,1780
144,555024,1780-09-01,,,1,9,1780
145,555025,1780-10-01,,,1,10,1780
146,555026,1780-11-01,,,1,11,1780
147,555027,1780-12-01,,,1,12,1780
148,555028,1781-01-01,,,1,1,1781
149,555029,1781-02-01,,,1,2,1781
150,555030,1781-03-01,,,1,3,1781
151,555031,1781-04-01,,,1,4,1781
152,555032,1781-05-01,,,1,5,1781
153,555033,1781-06-01,,,1,6,1781
154,555034,1781-07-01,,,1,7,1781
155,555035,1781-08-01,,,1,8,1781
156,555036,1781-09-01,14.316,3.361,1,9,1781
157,555037,1781-10-01,9.031,2.064,1,10,1781
158,555038,1781-11-01,3.832,2.6260000000000003,1,11,1781
159,555039,1781-12-01,-2.166,3.985,1,12,1781
160,555040,1782-01-01,-5.98,3.503,1,1,1782
161,555041,1782-02-01,-4.058,4.5310000000000015,1,2,1782
162,555042,1782-03-01,-0.121,2.753,1,3,1782
163,555043,1782-04-01,8.792,2.62,1,4,1782
164,555044,1782-05-01,14.02,2.965,1,5,1782
165,555045,1782-06-01,19.578,2.386,1,6,1782
166,555046,1782-07-01,21.014,3.525,1,7,1782
167,555047,1782-08-01,,,1,8,1782
168,555048,1782-09-01,,,1,9,1782
169,555049,1782-10-01,,,1,10,1782
170,555050,1782-11-01,,,1,11,1782
171,555051,1782-12-01,,,1,12,1782
172,555052,1783-01-01,,,1,1,1783
173,555053,1783-02-01,,,1,2,1783
174,555054,1783-03-01,,,1,3,1783
175,555055,1783-04-01,,,1,4,1783
176,555056,1783-05-01,,,1,5,1783
177,555057,1783-06-01,,,1,6,1783
178,555058,1783-07-01,,,1,7,1783
179,555059,1783-08-01,,,1,8,1783
180,555060,1783-09-01,,,1,9,1783
181,555061,1783-10-01,,,1,10,1783
182,555062,1783-11-01,,,1,11,1783
183,555063,1783-12-01,,,1,12,1783
184,555064,1784-01-01,,,1,1,1784
185,555065,1784-02-01,,,1,2,1784
186,555066,1784-03-01,,,1,3,1784
187,555067,1784-04-01,,,1,4,1784
188,555068,1784-05-01,,,1,5,1784
189,555069,1784-06-01,,,1,6,1784
190,555070,1784-07-01,,,1,7,1784
191,555071,1784-08-01,,,1,8,1784
192,555072,1784-09-01,,,1,9,1784
193,555073,1784-10-01,,,1,10,1784
194,555074,1784-11-01,,,1,11,1784
195,555075,1784-12-01,,,1,12,1784
196,555076,1785-01-01,,,1,1,1785
197,555077,1785-02-01,,,1,2,1785
198,555078,1785-03-01,,,1,3,1785
199,555079,1785-04-01,,,1,4,1785
200,555080,1785-05-01,,,1,5,1785
201,555081,1785-06-01,,,1,6,1785
202,555082,1785-07-01,,,1,7,1785
203,555083,1785-08-01,,,1,8,1785
204,555084,1785-09-01,,,1,9,1785
205,555085,1785-10-01,,,1,10,1785
206,555086,1785-11-01,,,1,11,1785
207,555087,1785-12-01,,,1,12,1785
208,555088,1786-01-01,,,1,1,1786
209,555089,1786-02-01,,,1,2,1786
210,555090,1786-03-01,,,1,3,1786
211,555091,1786-04-01,,,1,4,1786
212,555092,1786-05-01,,,1,5,1786
213,555093,1786-06-01,,,1,6,1786
214,555094,1786-07-01,,,1,7,1786
215,555095,1786-08-01,,,1,8,1786
216,555096,1786-09-01,,,1,9,1786
217,555097,1786-10-01,,,1,10,1786
218,555098,1786-11-01,,,1,11,1786
219,555099,1786-12-01,,,1,12,1786
220,555100,1787-01-01,,,1,1,1787
221,555101,1787-02-01,,,1,2,1787
222,555102,1787-03-01,,,1,3,1787
223,555103,1787-04-01,,,1,4,1787
224,555104,1787-05-01,,,1,5,1787
225,555105,1787-06-01,,,1,6,1787
226,555106,1787-07-01,,,1,7,1787
227,555107,1787-08-01,,,1,8,1787
228,555108,1787-09-01,,,1,9,1787
229,555109,1787-10-01,,,1,10,1787
230,555110,1787-11-01,,,1,11,1787
231,555111,1787-12-01,,,1,12,1787
232,555112,1788-01-01,,,1,1,1788
233,555113,1788-02-01,,,1,2,1788
234,555114,1788-03-01,,,1,3,1788
